"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
3301161,1,2,2,1,1,1,3,3,1,3,2,1,1,3,3,2,3,3,,2,2,4,5,5,2,50,5,3
3301162,1,3,1,3,1,1,5,1,1,3,1,1,1,1,1,3,4,4,2,1,3,4,5,5,1,62,4,3
3301163,1,2,2,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,5,5,1,20,6,3
3301171,2,2,2,1,4,1,5,2,3,3,2,5,1,1,1,3,3,3,2,3,5,5,4,,1,69,4,3
3301172,4,2,2,1,4,1,4,1,4,3,3,4,1,1,1,4,4,4,2,1,3,3,3,4,2,70,5,2
3301173,1,2,2,1,1,1,3,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,54,5,3
3301183,2,2,2,1,1,1,3,1,1,1,1,3,1,1,1,3,,1,2,2,3,3,4,5,2,58,3,1
3301191,1,2,2,1,1,1,1,3,1,1,1,1,1,2,1,1,5,1,2,1,2,1,5,5,2,54,3,2
3301192,1,2,2,2,1,1,3,1,1,1,1,1,1,1,1,2,2,3,2,3,3,5,5,4,2,28,9,1
3301193,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,1,1,3,3,4,2,44,1,1
3301201,1,2,2,1,1,1,3,5,1,2,1,1,1,1,1,3,3,2,2,1,4,4,1,4,1,74,5,1
3301202,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,4,2,3,1,54,4,1
3301203,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,74,1,1
3301211,3,2,2,1,3,1,3,3,3,3,1,3,1,1,1,3,3,1,1,1,1,3,5,3,1,22,9,3
3301212,1,3,3,3,1,1,2,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,5,5,2,27,5,1
3301213,1,2,2,1,2,1,3,1,1,3,1,2,1,1,1,5,3,2,2,1,3,3,5,5,2,42,4,2
3301221,2,2,2,1,1,2,2,2,3,1,2,2,1,1,1,3,3,2,1,1,1,3,4,5,2,46,5,1
3301223,1,3,3,1,2,2,4,2,1,3,2,1,1,1,1,5,5,5,2,1,3,4,5,5,2,40,5,2
3301231,1,3,3,3,1,1,1,3,1,3,1,3,1,1,1,4,4,3,1,1,3,4,5,5,1,19,8,1
3301232,1,2,2,1,3,1,5,1,1,1,1,3,1,1,1,4,4,3,2,1,3,5,5,5,2,62,2,1
3301233,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,2,3,1,2,1,1,3,2,5,1,44,5,2
3301241,1,2,2,1,1,1,4,3,3,3,3,1,1,1,1,4,4,4,2,1,4,5,3,5,2,51,5,3
3301243,2,2,1,2,2,1,4,2,2,2,1,2,1,1,1,5,5,3,2,1,2,5,5,5,2,46,4,1
3301251,2,2,2,1,4,1,3,1,1,1,1,4,1,1,1,5,5,,1,1,2,5,5,5,2,60,4,2
3301252,3,2,2,3,1,1,4,,1,1,1,3,1,1,1,3,3,3,2,1,3,5,5,4,2,60,2,2
3301253,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,2,1,3,3,5,3,1,52,2,1
4101021,3,2,2,1,2,1,4,2,2,2,1,2,1,1,2,5,5,5,2,3,3,4,5,5,2,40,9,4
4101023,1,2,2,1,2,1,3,1,2,2,2,2,1,1,1,4,4,3,1,2,3,4,5,4,1,38,7,3
4101031,1,2,2,1,1,1,3,2,2,1,1,1,4,1,1,2,3,2,2,3,4,5,5,5,1,67,3,1
4101032,3,2,2,1,2,1,4,3,3,1,1,3,1,1,1,3,3,3,2,2,3,4,5,5,1,68,3,3
4101033,2,2,2,1,1,1,3,2,1,2,1,1,1,1,1,3,3,2,2,2,1,2,5,5,2,68,5,2
4101034,1,2,2,1,1,2,4,1,2,1,2,1,5,1,1,1,2,1,2,4,5,5,5,5,2,60,4,3
4101041,3,2,2,1,2,1,2,3,3,1,1,3,1,1,1,4,4,2,1,1,2,2,5,5,2,31,5,1
4101042,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,5,5,5,2,2,3,5,5,5,2,43,7,4
4101044,2,2,2,1,2,1,3,1,2,1,1,2,1,1,1,3,4,3,2,1,3,5,5,5,2,44,5,3
4101045,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,5,4,2,2,1,2,4,5,5,1,29,5,4
4101053,4,2,2,1,2,1,2,4,3,2,1,3,1,1,1,4,4,4,1,1,1,2,5,5,2,27,5,3
4101054,1,2,2,1,1,1,3,4,3,1,1,1,1,1,1,2,3,2,2,2,3,5,5,5,1,60,4,2
4101055,1,3,2,1,1,1,3,1,1,1,1,1,1,1,1,5,3,1,2,2,2,5,5,5,2,35,5,3
