"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
5402083,2,2,2,1,2,2,3,5,3,3,2,4,1,1,1,5,4,4,2,2,2,3,4,5,1,41,7,2
5402091,2,1,2,1,3,1,3,2,3,3,1,2,1,1,1,2,3,2,2,1,2,3,5,5,2,31,6,1
5402092,4,3,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,19,4,3
5402101,3,2,2,1,3,1,2,1,2,3,1,3,1,1,1,3,3,3,2,1,1,1,5,5,2,66,4,2
5402102,3,2,2,1,2,1,5,1,1,2,1,1,1,1,1,4,4,2,2,1,3,2,4,5,1,33,5,2
5402103,1,2,2,3,3,1,3,3,3,1,1,1,1,1,1,,3,,2,1,1,1,1,3,2,47,5,2
5402111,1,2,2,2,3,1,3,4,4,4,3,3,1,1,3,1,1,1,2,2,3,3,4,3,1,48,4,3
5402112,1,1,2,2,1,1,1,3,3,2,1,1,2,2,2,2,2,2,2,1,1,1,4,4,2,36,4,3
5402113,1,1,2,2,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,46,4,3
5701011,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,4,1,3,1,1,1,2,4,4,2,20,8,3
5701012,1,2,1,2,3,1,5,4,4,1,3,4,1,1,1,1,2,1,2,1,3,4,4,2,2,56,10,5
5701013,1,1,1,2,1,1,2,2,2,2,4,5,1,3,4,3,4,4,2,1,1,1,4,4,2,64,5,3
5701021,2,1,1,2,1,1,4,4,1,1,1,1,1,3,3,5,4,1,1,1,3,3,3,4,1,20,5,4
5701022,5,2,,1,4,3,3,2,2,5,1,1,1,3,5,3,3,3,2,3,2,1,1,3,1,37,4,4
5701032,1,1,1,1,3,1,4,1,1,1,2,1,1,2,2,2,3,2,2,1,1,1,3,5,1,49,7,3
5701041,1,2,2,3,2,1,2,1,1,1,1,2,1,1,1,3,3,4,2,1,1,1,5,5,2,52,2,1
5701042,2,3,2,,2,1,2,2,2,2,1,2,2,2,2,4,4,4,2,1,1,1,5,5,2,63,4,1
5701043,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,65,2,1
5701051,1,2,1,1,1,1,4,2,1,1,1,1,1,1,1,3,1,1,2,1,2,3,4,5,1,28,4,2
5701053,3,1,1,1,4,1,5,1,1,3,4,4,1,1,1,1,1,1,2,2,4,5,3,4,2,65,2,2
5701061,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,63,2,1
5701062,1,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,2,68,3,1
5701063,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,4,5,1,68,3,2
5701072,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,2,4,4,1,2,2,19,5,1
5701075,1,1,2,1,1,1,4,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,3,4,2,19,5,2
5701076,4,2,2,1,1,1,4,1,1,4,1,5,1,1,1,5,1,1,2,2,2,5,3,4,1,45,3,2
5701081,1,1,1,1,1,1,3,1,1,3,1,1,1,2,3,4,1,1,1,1,1,1,1,3,2,54,2,
5701083,1,1,2,1,1,1,3,3,1,2,1,1,1,1,1,3,1,1,1,1,1,3,4,2,2,43,8,2
5701084,5,,3,3,2,4,3,2,3,5,3,2,1,3,5,4,,,2,5,1,1,1,4,1,41,4,4
5701091,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,56,7,4
5701092,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,56,4,4
5701103,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,4,5,2,61,4,3
5701111,2,2,2,1,1,2,5,4,1,1,1,1,1,1,1,1,4,1,2,1,1,3,5,4,2,70,3,3
5701113,1,2,1,2,2,1,4,2,1,1,1,1,1,1,1,4,2,2,2,1,1,1,5,4,1,30,9,4
5701121,1,2,2,2,2,1,4,2,2,2,1,2,1,1,1,1,1,1,1,1,3,2,4,4,2,41,9,2
5701122,3,2,2,1,3,2,4,2,2,2,2,3,1,3,3,4,4,3,2,2,4,5,4,,2,56,3,3
5701131,1,3,1,,1,1,2,4,1,1,1,1,1,2,2,4,4,5,1,1,3,1,1,4,1,21,6,3
5701132,1,1,1,1,1,2,1,3,2,2,4,5,3,1,2,1,2,1,1,2,2,2,2,4,1,73,7,6
5701134,4,3,3,3,1,2,3,5,3,1,1,1,2,3,3,3,4,2,1,1,2,1,1,3,2,60,2,2
5701135,2,2,2,2,1,1,5,1,1,1,1,1,1,3,3,5,4,5,1,2,1,1,1,1,2,22,5,2
5701141,2,1,2,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,3,4,2,70,4,2
5701142,2,1,1,2,3,3,4,1,2,2,1,5,4,2,3,3,1,1,2,3,4,2,4,5,2,52,5,3
5701143,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,2,41,5,3
5701162,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,4,4,2,49,5,2
5701163,1,2,2,1,2,1,2,2,1,3,1,1,1,1,1,1,1,1,2,2,3,4,4,4,2,50,7,1
5701171,1,3,2,3,1,1,2,1,1,1,1,1,1,1,1,2,4,3,1,1,1,1,4,5,2,48,4,1
5701183,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,1,23,8,3
5701191,1,2,3,1,1,1,4,1,3,3,1,1,1,1,1,1,1,1,2,2,2,1,4,4,1,52,9,3
5701192,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,52,4,1
5701202,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,5,3,1,32,4,1
5701203,1,2,1,1,1,2,4,3,1,2,3,2,1,1,1,1,1,1,2,1,1,2,4,5,2,64,2,2
5701221,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,1,3,2,1,1,4,5,2,52,6,3
5701232,1,2,3,3,1,1,3,,3,1,1,1,1,1,1,,2,,2,2,1,3,5,5,2,54,2,2
5701233,1,2,3,3,1,1,2,2,1,2,1,1,1,1,1,3,5,3,1,3,4,4,5,5,2,25,5,2
5701241,3,2,3,1,3,1,4,3,3,2,2,3,1,1,1,4,4,4,2,1,1,1,3,3,2,41,3,1
5701255,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,1,40,5,1
5701256,1,3,3,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,3,3,1,55,2,1
5801022,1,2,2,1,1,1,4,5,1,3,1,2,1,2,1,3,5,5,2,3,3,3,5,5,1,73,7,5
5801023,5,2,1,1,3,2,4,1,4,3,3,1,2,2,1,3,4,3,2,1,1,3,5,3,2,60,9,4
5801032,1,2,2,1,1,1,5,3,1,1,1,1,1,1,1,3,3,3,1,1,1,4,4,5,2,35,5,3
5801034,3,2,2,1,1,1,4,2,1,4,1,1,1,1,1,3,3,3,2,1,2,4,2,5,1,49,7,4
5801035,1,2,2,1,2,1,3,,1,3,1,2,2,2,2,4,4,4,2,1,2,3,5,5,2,56,5,3
5801037,3,2,2,1,1,1,1,1,1,4,1,1,1,1,1,3,3,3,1,1,1,1,3,5,1,40,5,1
5801041,5,2,2,2,1,1,2,4,1,1,2,2,1,2,1,4,2,2,2,1,1,5,5,4,1,48,5,2
5801042,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,3,1,2,2,1,2,4,4,4,2,60,3,1
5801043,1,2,2,1,1,1,3,2,1,1,1,3,1,1,1,4,4,2,1,1,1,3,4,5,2,41,3,3
5801044,2,2,2,1,1,1,3,2,3,3,2,2,1,1,1,3,3,3,1,1,1,4,5,4,1,28,6,4
5801046,3,1,2,2,5,1,5,3,3,3,2,4,2,2,4,3,4,4,2,1,1,1,4,4,2,68,2,1
5801051,2,2,3,1,3,1,5,4,3,3,2,3,1,1,1,3,3,3,2,1,1,4,5,4,2,45,7,2
5801053,2,2,2,1,1,1,5,,1,1,1,1,1,1,1,,4,1,1,1,3,3,4,4,1,32,5,3
5801061,2,2,2,2,1,1,1,2,2,3,3,3,1,1,1,2,2,2,2,2,3,3,4,3,2,52,4,3
5801062,1,2,3,2,1,1,3,,1,,1,1,1,1,2,3,4,4,1,1,2,2,4,5,1,29,8,3
5801063,1,2,1,3,2,1,3,3,3,,2,3,1,1,1,1,1,2,2,1,1,3,4,4,2,53,2,2
5801064,2,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,4,2,1,1,1,4,3,4,1,23,4,3
5801065,1,2,2,1,1,1,2,1,1,3,1,1,1,1,1,,4,3,2,1,2,3,4,5,1,51,3,3
5801081,,2,2,1,1,1,4,4,3,1,1,4,1,1,1,4,3,4,2,1,1,3,4,5,2,64,3,3
5801082,1,3,2,1,1,1,3,3,2,1,1,1,1,1,1,3,3,3,1,1,4,4,4,5,1,32,4,3
5801083,2,2,2,1,1,1,4,3,1,1,1,1,1,1,1,,4,,1,1,2,2,5,5,1,23,4,3
5801084,2,2,3,3,2,1,3,,2,3,1,2,1,1,1,1,3,3,1,1,1,3,4,3,1,36,5,2
5801085,1,2,1,2,2,1,4,,2,,1,2,1,1,1,1,1,1,2,4,5,5,5,5,1,64,5,3
5801093,1,2,2,2,2,2,4,2,2,3,1,3,1,1,1,1,1,1,2,1,2,2,5,5,2,68,6,3
5801094,2,2,2,1,1,2,4,3,1,3,1,1,1,1,3,5,1,3,2,1,1,5,3,3,2,75,4,3
5801096,3,2,2,1,4,1,5,4,1,3,1,3,2,2,2,4,4,1,2,2,3,3,5,5,2,73,5,2
5801102,1,2,2,1,1,1,4,1,1,,1,1,1,1,1,1,,4,2,1,2,4,4,5,2,65,4,4
5801104,3,2,2,2,2,1,5,2,1,1,2,2,1,1,1,4,4,1,2,2,3,3,4,5,2,39,7,4
5801106,1,2,2,1,2,1,3,4,2,3,1,2,1,1,1,5,5,5,2,1,1,2,4,4,2,45,5,2
5801111,2,2,2,2,2,1,4,3,1,2,1,3,1,1,1,3,5,1,1,1,1,1,4,5,2,68,7,2
5801112,,2,3,3,3,1,4,,1,3,2,3,1,1,1,,4,4,2,1,3,4,4,5,2,74,3,4
5801114,,2,2,3,1,1,1,1,3,3,1,2,1,1,1,4,4,3,2,2,1,4,4,5,2,30,4,2
5801115,3,2,2,1,3,2,4,3,3,2,1,2,1,1,1,,3,4,2,5,4,5,4,5,1,63,4,3
5801121,3,2,3,3,3,3,4,3,4,4,3,3,3,1,1,1,3,,2,2,2,3,5,5,2,74,4,3
5801125,2,1,1,3,2,2,5,2,3,1,2,3,2,2,2,5,5,5,1,3,2,3,4,4,2,29,7,4
5801131,2,2,2,1,2,2,4,3,3,3,2,2,2,2,1,2,3,3,2,3,2,3,4,4,1,72,9,5
5801132,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,4,5,5,4,1,72,7,1
5801143,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,2,4,5,2,56,3,3
5801146,3,2,1,3,1,1,4,2,2,2,1,2,1,1,3,3,3,3,2,5,5,5,5,5,1,41,5,3
5801151,1,2,2,1,1,1,4,2,1,1,1,4,1,1,2,3,4,5,2,1,5,4,5,2,1,50,7,2
5801154,3,2,2,1,2,1,4,4,2,2,1,2,1,2,3,3,3,2,1,2,1,4,5,5,2,41,9,3
5801155,1,1,2,2,2,2,3,3,2,3,1,2,3,3,1,5,5,5,2,2,5,5,4,5,2,52,10,1
5801156,1,3,2,1,1,1,5,1,1,4,1,1,1,1,1,4,4,1,1,1,3,5,4,4,2,66,4,2
5801161,2,2,2,2,2,1,5,2,2,3,5,3,1,1,1,3,4,4,2,2,2,3,4,4,1,64,3,2
5801164,1,2,2,2,3,3,4,3,3,3,1,3,1,1,1,1,,1,1,1,1,2,4,5,2,58,4,3
5801165,4,1,1,1,4,2,5,,1,4,1,5,1,3,3,4,,,2,3,5,5,4,4,2,61,5,
5804011,3,2,2,2,3,3,4,4,2,3,2,2,1,1,1,4,5,5,1,1,1,1,2,5,2,29,7,1
5804014,1,1,2,2,1,1,4,1,1,1,1,1,1,1,1,4,4,3,2,3,3,4,3,3,2,46,7,4
5804015,1,2,1,2,1,1,2,1,1,4,1,1,1,1,1,3,3,3,2,1,3,4,3,1,2,58,9,3
5804017,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,3,5,4,2,1,3,3,4,2,2,61,5,1
5804021,2,2,2,1,3,2,3,3,2,3,2,3,1,1,1,3,4,3,2,2,3,3,4,5,2,53,4,2
5804022,1,2,2,3,1,1,3,3,2,3,2,1,1,2,3,4,2,3,1,2,3,3,4,5,1,48,2,1
5804023,3,1,2,2,4,1,3,3,3,4,4,4,3,3,3,4,4,4,2,1,2,2,3,4,2,48,2,1
5804024,3,1,1,1,4,3,4,4,3,3,3,4,1,4,4,5,5,5,2,4,4,4,5,5,2,56,3,1
5804025,4,2,1,2,4,3,4,4,3,3,3,4,3,3,3,4,4,5,2,1,3,3,4,5,2,45,3,1
5804031,4,2,2,2,3,3,1,,1,1,1,3,1,2,4,1,3,3,1,1,2,2,4,5,1,57,2,1
5804033,3,1,2,2,3,3,3,3,3,3,4,4,3,3,3,4,4,4,2,1,1,1,5,4,2,65,2,1
5804034,4,2,2,2,3,2,4,4,4,3,3,3,2,2,2,5,5,5,1,1,3,3,3,4,2,20,5,3
5804035,3,2,2,2,3,2,3,3,2,3,3,3,2,2,2,4,4,4,2,1,3,3,5,4,1,58,5,4
5804044,2,2,2,2,2,1,5,2,3,3,1,3,1,1,1,5,5,5,2,2,2,2,5,5,2,31,7,1
5804052,2,3,1,3,3,1,3,3,3,3,2,3,1,1,1,3,4,4,2,1,3,3,5,5,1,39,7,1
5804054,3,1,1,1,3,1,4,2,3,3,2,2,2,2,3,3,4,1,2,1,1,1,3,4,1,69,2,1
5804056,2,2,2,1,2,1,3,,1,2,1,2,2,2,2,4,4,4,2,1,3,3,3,4,1,42,5,1
5804061,3,2,2,1,3,2,2,2,1,2,3,2,2,2,2,3,3,3,2,1,2,2,3,5,1,54,4,3
5804062,5,2,2,3,5,4,5,,2,3,,5,1,5,4,3,4,5,2,1,1,1,4,4,2,65,3,1
5804063,,2,2,1,3,1,3,1,3,3,1,3,1,1,1,5,4,4,2,1,1,1,4,5,2,48,4,2
5804064,3,2,2,2,2,1,5,1,1,1,1,2,1,1,1,4,4,5,2,2,2,2,3,4,2,30,6,1
5804065,3,2,2,1,2,1,3,2,2,2,2,3,1,1,1,4,4,3,2,1,3,3,5,3,1,59,4,2
5804072,2,2,2,3,2,1,3,4,2,3,1,2,1,1,1,4,4,3,2,1,2,2,4,4,2,54,7,2
5804073,5,2,2,1,4,1,4,3,1,3,1,5,1,3,5,4,4,4,2,5,5,5,5,5,2,75,5,4
5804075,2,2,2,1,3,1,4,3,1,1,1,4,1,1,1,4,4,4,2,1,1,4,5,4,2,71,5,3
5804076,2,2,2,1,3,1,4,3,1,3,3,3,1,1,1,4,4,3,2,4,5,4,4,4,1,54,6,1
5804077,3,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,4,4,2,47,4,1
5804081,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,4,5,4,1,3,3,3,4,2,1,26,6,2
5804082,2,2,2,2,1,1,3,3,1,3,1,3,1,1,1,1,4,2,1,1,1,1,4,4,2,64,5,1
5804083,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,2,2,1,2,3,3,5,1,62,7,2
5804084,3,2,2,1,2,1,2,3,1,2,1,2,2,2,2,4,4,4,2,2,5,5,5,4,2,46,7,3
5804085,1,2,2,1,1,1,2,3,2,2,1,1,1,1,1,3,3,1,1,1,2,5,4,5,2,31,6,1
5804091,3,2,2,1,2,1,4,2,2,2,2,2,2,2,2,3,3,1,2,1,2,2,4,5,1,73,7,3
5804092,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,4,4,4,2,1,2,3,3,4,2,50,9,4
5804093,2,2,2,1,2,2,3,3,1,1,1,1,1,1,1,4,4,3,2,1,3,3,4,5,2,27,9,3
5804101,2,2,2,1,2,2,4,5,2,3,2,3,2,2,3,3,2,3,1,2,2,2,5,3,2,39,5,1
5804102,1,2,2,1,2,2,4,4,1,2,1,2,1,1,1,4,,,2,1,1,1,3,4,2,36,5,1
5804104,2,2,2,1,2,1,4,,2,3,2,2,1,1,1,4,4,4,2,1,2,2,4,4,1,48,3,2
5804105,1,2,2,1,1,1,4,3,1,3,1,1,1,1,1,3,4,4,1,1,2,1,5,5,2,55,3,3
5804111,3,2,1,1,,,4,4,2,4,3,3,2,2,2,4,4,4,2,1,1,1,4,5,2,52,3,1
5804112,2,2,2,1,2,2,3,2,1,2,2,2,1,1,1,1,3,3,2,1,1,1,3,5,2,73,2,3
5804114,4,2,2,2,2,1,2,,1,1,1,3,1,1,1,,2,4,2,2,4,4,3,5,1,58,4,1
5804115,1,2,2,2,2,2,3,4,3,4,2,2,2,1,1,3,5,3,1,2,2,2,4,4,1,24,8,3
5804121,3,2,2,2,2,2,3,3,1,2,3,3,2,2,2,3,3,3,2,2,3,3,3,4,1,69,4,3
5804123,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1,2,2,4,5,2,23,5,1
5804124,3,2,1,2,1,1,3,3,1,3,1,1,1,1,1,3,3,3,1,1,3,3,4,5,2,41,9,1
5804125,2,2,2,1,1,1,4,4,3,3,2,2,2,2,2,5,4,4,2,1,3,4,4,4,1,55,7,2
5804126,3,3,3,2,2,2,3,3,3,3,3,2,1,1,1,4,5,5,1,1,1,1,4,4,2,36,9,2
6101013,3,2,1,1,2,1,4,3,3,1,1,3,1,1,3,4,4,4,2,5,5,5,4,3,2,74,7,3
6101014,1,2,2,1,4,1,3,1,1,1,1,3,1,1,1,,3,,2,1,1,5,5,5,2,68,2,3
6101017,1,1,1,1,2,1,3,4,4,2,2,1,1,1,3,3,3,3,2,3,2,3,4,3,1,38,9,3
6101023,1,2,1,1,2,2,5,2,2,1,3,3,3,4,3,2,1,1,2,4,4,5,5,5,2,25,6,3
6101031,3,3,2,1,3,1,4,,2,,2,3,,,,2,2,2,2,1,1,1,4,4,2,74,2,
6101033,2,2,2,1,2,2,5,2,2,4,2,2,2,3,2,4,3,3,1,3,2,4,4,5,1,30,10,3
6101035,1,2,2,1,3,1,4,1,3,3,1,3,3,1,1,3,3,1,2,2,3,3,5,5,2,66,9,3
6101036,3,2,2,1,3,1,3,2,2,2,2,3,1,2,1,3,2,2,2,3,3,4,4,3,1,52,7,3
6101051,1,2,2,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,60,5,1
6101052,1,2,2,1,3,2,3,1,1,2,2,1,1,1,1,3,3,2,1,3,5,5,5,5,1,31,6,3
6101055,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,5,3,2,28,5,2
6101056,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,5,4,1,22,5,1
6101061,2,2,2,1,4,1,4,3,1,1,1,5,1,3,3,4,4,3,1,5,4,5,5,5,2,72,5,3
6101062,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,5,5,1,43,4,3
6101064,3,2,2,1,2,2,2,4,4,4,3,1,4,3,1,2,4,1,2,2,4,5,5,5,2,65,5,2
6101076,1,2,2,1,3,1,4,4,3,3,2,1,1,1,1,3,3,1,2,2,3,5,4,4,1,37,8,1
6101081,1,2,2,1,2,1,3,1,2,2,3,2,1,1,1,3,,3,2,1,1,2,5,5,1,48,4,1
6101082,3,2,1,1,2,1,2,2,2,2,2,2,1,1,1,4,,1,2,1,1,5,4,4,2,46,4,1
6101083,3,2,2,1,3,2,4,2,1,3,1,3,2,2,2,2,4,3,1,1,3,3,4,4,1,18,5,1
6101084,2,2,2,1,1,2,2,4,1,1,3,1,3,1,4,4,5,4,2,4,4,5,5,5,1,30,5,1
6101091,1,2,1,3,2,1,2,2,1,3,1,4,1,1,1,3,3,3,2,1,3,3,5,5,1,44,9,3
6101092,,2,2,1,5,1,5,4,4,3,5,4,1,1,1,5,5,5,2,1,1,3,5,5,2,51,4,1
6101093,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,2,3,4,2,2,59,4,1
6101094,1,2,1,2,1,1,5,3,,1,1,1,4,1,1,,5,1,1,1,2,1,5,5,1,52,2,1
6101101,3,2,2,1,1,1,2,3,2,1,1,1,1,1,1,3,4,3,,3,3,3,5,4,2,31,8,1
6101102,3,2,2,1,2,1,3,2,2,2,1,2,1,1,1,3,1,1,2,1,1,5,5,5,2,55,3,2
6101105,2,2,2,1,3,3,4,3,3,3,2,3,2,2,2,3,3,4,2,2,4,5,5,5,1,51,9,3
6101112,,2,1,1,1,1,3,3,1,3,1,1,1,1,1,1,3,1,1,1,1,5,5,5,2,46,4,4
6101113,1,2,1,2,2,2,5,3,2,2,3,2,2,2,2,3,,3,1,1,1,5,5,4,2,30,5,2
6101115,2,2,2,1,2,1,3,,1,2,1,1,1,1,1,3,3,3,2,1,1,2,5,5,2,46,7,1
6101122,1,2,1,1,2,1,2,4,1,4,1,2,1,1,1,,,,2,1,3,5,5,5,2,58,2,2
6101132,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,5,5,5,1,38,5,4
6101133,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,5,4,2,58,2,1
6101143,1,2,2,1,1,1,3,3,3,3,1,1,2,1,1,3,3,2,2,4,5,5,4,4,2,43,4,4
6101151,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,,1,2,3,3,4,4,4,2,41,6,1
6101152,1,2,3,1,1,1,2,2,3,5,1,1,3,1,1,5,3,2,1,1,1,5,5,5,2,60,5,3
6101154,2,2,1,2,3,2,3,1,1,1,1,3,2,2,2,4,,,2,1,1,5,5,5,1,35,9,3
6101161,,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,4,1,4,5,1,29,8,1
6101162,,2,2,1,2,2,2,2,2,2,3,3,,1,1,3,3,3,2,2,1,3,4,4,2,51,4,3
6101171,3,2,2,1,2,1,4,4,2,4,2,4,1,1,1,3,4,2,2,2,2,3,5,5,1,44,7,2
6101172,2,2,2,1,2,1,4,2,3,2,2,2,1,2,2,3,5,2,2,2,2,4,4,5,1,58,5,1
6101182,3,1,1,2,3,3,3,4,3,3,3,3,1,2,2,3,3,3,2,3,3,4,5,5,2,44,7,1
6101191,1,3,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,3,1,1,1,3,4,4,1,43,7,3
6101194,3,2,2,1,4,1,3,4,4,4,2,4,1,3,1,1,5,1,2,1,1,1,5,4,1,54,6,1
6101201,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,3,4,3,2,3,3,3,5,4,2,30,7,5
6101205,3,2,2,1,3,3,4,2,2,3,3,3,3,3,4,4,4,3,1,3,5,5,5,5,2,33,7,5
6101216,3,2,2,1,3,1,5,1,2,2,4,4,1,1,1,1,4,1,1,2,1,5,5,5,2,68,2,1
6105011,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,3,3,3,3,4,4,2,18,4,1
6105014,,2,1,1,2,,4,2,2,2,,3,1,1,1,1,1,1,1,1,1,3,5,5,2,56,2,1
6105022,2,2,2,2,3,1,4,1,2,2,2,3,,2,1,4,3,3,2,2,1,4,5,5,1,59,5,3
6105026,3,2,2,1,3,3,4,3,3,2,2,3,3,3,3,3,3,3,1,1,2,2,3,3,1,23,4,2
6105031,1,2,2,3,2,1,2,2,1,2,1,2,1,1,1,4,4,4,2,1,3,4,5,2,2,68,2,1
6105032,4,2,1,2,4,2,5,2,2,4,2,4,1,2,4,3,5,2,2,2,2,5,5,5,1,54,4,1
6105033,1,1,2,1,3,1,4,3,2,2,1,3,1,1,2,4,3,3,2,1,2,1,4,4,2,45,5,3
6105041,1,2,2,1,1,1,2,2,1,1,1,1,1,1,3,1,4,1,1,1,4,5,5,4,1,23,5,3
6105042,2,2,2,1,1,1,3,2,3,1,2,2,1,1,1,4,4,3,1,1,1,3,4,5,2,30,7,1
6105043,3,2,2,1,1,1,4,4,2,2,2,2,1,1,1,3,2,2,1,1,1,3,5,5,2,40,5,2
6105044,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,4,1,1,2,1,1,4,5,4,2,49,2,1
6105061,5,2,2,1,3,2,4,2,3,5,3,2,2,2,2,4,4,3,2,4,4,5,5,4,2,58,5,4
6105063,2,2,2,1,3,2,2,3,1,3,3,2,4,1,1,1,1,1,2,3,3,5,5,5,1,70,4,1
6105071,3,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,4,4,4,3,2,18,5,2
6105072,2,2,2,1,3,3,3,4,3,3,3,3,,,,2,,,2,3,3,4,5,5,2,43,5,2
6105073,1,2,2,1,1,2,3,1,2,2,1,1,3,1,1,2,3,1,2,2,2,5,4,4,1,66,3,3
6105074,4,2,2,1,3,2,3,3,2,2,3,3,2,2,2,3,3,3,2,4,3,5,5,4,1,27,7,2
6105092,5,2,2,1,2,2,3,2,1,,,1,1,1,1,2,,2,2,1,2,1,4,5,2,50,5,3
6105094,3,2,2,1,2,1,2,4,4,1,1,4,1,1,1,1,1,1,2,1,1,1,5,5,2,70,4,4
6105103,1,2,2,1,3,1,3,2,3,3,3,4,2,2,2,1,3,1,2,1,1,3,5,5,2,56,2,2
6105104,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,5,5,5,1,30,5,2
6105113,2,2,1,1,2,2,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,3,2,2,54,2,3
6108011,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,,2,2,2,3,3,3,1,58,4,2
6108012,1,3,3,3,1,2,2,1,2,3,2,1,2,2,2,2,3,2,1,1,2,2,5,5,1,32,5,2
6108022,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,3,3,4,5,4,1,46,5,3
6108031,1,2,2,1,1,1,3,3,2,3,1,1,1,1,1,3,3,2,2,1,3,3,5,5,2,25,5,1
6108033,,2,2,1,5,2,5,1,5,5,5,5,,1,,1,2,1,2,3,1,1,4,4,1,75,1,1
6108041,2,2,2,1,2,2,3,2,3,3,3,1,1,1,1,,,3,,1,1,1,3,2,2,42,2,1
6108042,3,2,1,2,1,1,2,2,2,2,1,2,2,2,2,3,4,2,1,1,3,2,4,4,2,27,5,1
6108043,1,2,2,1,1,1,3,1,3,4,1,1,1,1,1,1,2,1,1,1,1,3,5,4,1,33,7,3
6111011,1,2,2,2,3,3,4,2,2,2,2,3,3,2,1,4,3,3,2,1,3,3,5,4,2,54,3,2
6111013,2,2,2,1,3,1,4,3,3,3,2,2,1,1,1,4,3,4,2,4,5,5,4,4,2,45,9,4
6310011,3,2,2,1,3,3,3,,1,1,1,3,2,3,1,3,2,3,2,2,3,5,5,5,1,62,3,1
6310012,1,2,2,1,1,1,2,3,1,4,1,2,1,1,1,3,3,3,2,1,1,3,5,4,2,43,7,3
